created_at,username,full_text,sentimen
Wed Jun 12 17:45:57 +0000 2024,syfnhsn,Ini JENIUS @jeniushelp kok ga transparan ya.... 10.000 admin fee tiap bulan tapi ga ada di daftar transaksi Ada settlement trial subscription uang masuk 1.5 dollar aka 20ribuan tapi saldo utama gue tetep aja 6 ribuan,negatif
Sun Jun 30 22:02:52 +0000 2024,geyembungsoda,@jeniushelp cek dm minn,netral
Sun Jun 02 04:04:21 +0000 2024,arfebibots,@jeniushelp tolong cek DM ya min ,netral
Sat Jun 29 03:25:57 +0000 2024,jeniushelp,@ThatDitya Hi Kami informasikan laporan tagihan kartu kredit per juni terdapat Biaya Layanan Notifikasi yang dikenakan atas pengiriman informasi melalui Push Notification atau e-mail untuk transaksi sukses dan transaksi tarik tunai di ATM menggunakan kartu kredit^MBS,netral
Sun Jun 02 06:44:26 +0000 2024,Rosadicted,@jeniushelp Kak cek DM yaaa,netral
Tue Apr 02 07:23:46 +0000 2024,tilikangin,Cek DM ya min @jeniushelp,netral
Wed Mar 13 00:50:57 +0000 2024,_eccedentes,Betulin dah chat live lu @JeniusConnect @jeniushelp Lama banget responnya https://t.co/Ye5IQCAiNF,negatif
Sun Mar 31 13:48:45 +0000 2024,kookoari,Kaget tiba-tiba Jenius gak bisa login lagi eror kah? @jeniushelp,netral
Sat Mar 30 08:08:42 +0000 2024,indrabk,@BNICustomerCare halo min tgl 27 Mar lalu sy topup tapcash via aplikasi @jeniushelp tp sampe hari ini dananya blm masuk ke tapcash. Gmn ya Min? https://t.co/6WiUicw8yD,netral
Fri Mar 08 10:32:19 +0000 2024,dohelmifasolasi,@jeniushelp ini kenapa gak bisa masuk ya? Mentok di Masukan Pin https://t.co/8QYAkaD7Fu,netral
Sat Mar 30 08:11:23 +0000 2024,indrabk,Sy check di aplikasi @jeniushelp @JeniusConnect tp diminta hubungi @BNICustomerCare langsung. Krn sudah lebih dari 2x24jam tp saldo tapcash tidak bertambah. https://t.co/0QHlv19ku3,netral
Mon Mar 04 02:49:04 +0000 2024,arachmanto,Hi @jeniushelp mau tanya dong saya terima email dari team bptn. Apakah email ini benar punya BTPN?. Terima kasih. https://t.co/vTfKnvqI2d,netral
Sat Mar 16 09:48:33 +0000 2024,memurceee,Apasih anjrt tiba tiba di potong 120k jenius anj @jeniushelp https://t.co/UNmTwXJbRR,negatif
Wed Mar 06 22:38:16 +0000 2024,mutizain,@jeniushelp halo min boleh tolong cek DM ya. Terima kasih,netral
Mon Feb 26 12:53:58 +0000 2024,amienkarim,@jeniushelp Ini adalah booth kedua @JeniusConnect yang saya datangi sebelumnya di Puri dan berakhir tidak ada solusi Telf call center di suruh ke GI sampe booth GI tidak ada service agent. @jeniushelp https://t.co/VEu1eddq1o,negatif
Mon Feb 26 13:45:48 +0000 2024,amienkarim,@jeniushelp @JeniusConnect Uda samperin booth central di central Park dan apa hasilnya? Nihil juga dong.. Service center tutup jam 20.00 Waah bener2 kacau @JeniusConnect @jeniushelp https://t.co/Iohm8ESimd,negatif
Sun Mar 31 13:48:55 +0000 2024,hvdiw,halo min tiba2 akun jenius saya ke log out sendiri lalu pas masukin password salah terus padahal benar gimana ya @jeniushelp,netral
Mon Feb 19 01:39:52 +0000 2024,simply_valll,@ghozyulhaq @akun_judi @lps_idic @annisast @HappyIsNothing_ @BigDy18 @linebankid @digibank @jeniushelp Median nasabah milenial/gen z naro deposito under 250jt dimana bunga nya masih di 4 25%. Berarti masih masuk jaminan LPS kan? Bgmn kalo naro deposito di atas 250jt? @lps_idic tdk di jamin pokok &amp; bunga nya juga? @jeniushelp https://t.co/QI8T8Hhw3Y,netral
Wed Feb 28 13:43:39 +0000 2024,syaharbanu_,Halo @jeniushelp kalau mau pakai kartu debit Jenius di MRT Singapore apakah harus memindahkan saldo rupiah ke dolar Singapore atau ga? Apakah kartunya perlu diaktivasi dulu di stasiun MRT Singapore sebelum bisa ditap di pintu masuk? Makasih,netral
Wed Mar 27 06:15:06 +0000 2024,fiantoarii,@jeniushelp @JeniusConnect branch code Jenius ini diisi apa ya? please https://t.co/kD4V3L9i50,netral
Mon Apr 01 05:54:44 +0000 2024,TutusThomson,@jeniushelp Hi admin cek dm dong terimakasih,netral
Mon Mar 25 03:31:28 +0000 2024,IrfanRiansyahhh,@jeniushelp hello min mungkin untuk notifikasi mengenai biaya feesible perlu untuk dijelaskan dengan detail atau ditampilkan. Saya sudah topup saldo untuk pembayaran Flexi cash namun karena ada biaya tersebut saldo saya tidak sesuai dan mendapatkan biaya keterlambatan.,netral
Sun Feb 25 08:16:02 +0000 2024,amienkarim,Halo @jeniushelp dimana booth di daerah Jakarta,netral
Wed Mar 27 23:16:46 +0000 2024,jeniushelp,@nurul_weye Terima kasih sudah menghubungi Jenius. Apabila ada pertanyaan lain kamu dapat menghubungi Jenius melalui layanan telepon 24 Jam 1500365 Jenius Help Chat atau email ke jenius-help@btpn.com untuk informasi lebih lanjut. Have a nice day! ^RBN,netral
Tue Mar 19 09:17:01 +0000 2024,karinyoo,@fitridefi @jeniushelp Jenius sudah bisa contactless. Temen-temenku yang dari indonesia kalau ke Sydney selalu aku saranin kemana-mana tap jenius cardnya aja.,positif
Sun Mar 24 10:08:39 +0000 2024,raditenangis,@jeniushelp Makasii,netral
Fri Feb 02 04:20:00 +0000 2024,maschangbinn,Halo @jeniushelp ini kenapa gak ada pengajuan yaa https://t.co/eqDJTHCc2l,netral
Wed Feb 07 05:32:13 +0000 2024,andrianinovindh,Ini kenapa yahh jeniusku tida bisa memakai promo HokBen @JeniusConnect @jeniushelp Jenius HokBen gagal terus https://t.co/RgoTiDAO3F,netral
Wed Jan 24 03:37:06 +0000 2024,akuharapanmu,Halo @jeniushelp promo ini kenapa ga bisa dipake ya? Padahal udah pake kartu debit jenius dan belanja 100K. Apakah ada kuotanya? Cc @GrabID https://t.co/rgGv2PbM7o,netral
Fri Jan 26 00:39:23 +0000 2024,UrFriendly_Duck,Terima kasih bank Jenius karena sudah memantapkan saya untuk berpindah bank. @JeniusConnect @jeniushelp Kesalahan sistem tetap dibebankan ke pengguna. Sudah 5 tahun saya berada di dalam love-hate relationship dengan kalian dan saya menyatakan menyerah. https://t.co/PAMbhDxFHP,negatif
Sat Jan 27 09:42:16 +0000 2024,NabillaDP,Halo @JeniusConnect @jeniushelp boleh tau penjelasannya ini biaya apa ya? https://t.co/2i9G1kMlXD,netral
Tue Jan 02 09:08:50 +0000 2024,boughil,@jeniushelp min klo sy tidak berkenan data diri dibagikan ke pihak lain untuk dapat info promosi berarti sy tidak bisa menggunakan lagi jenius?? https://t.co/n1CQ0sDDU1,netral
Mon Feb 05 04:16:39 +0000 2024,w4ngiii,Tadi udh kasih saran di layanan telp sih Untuk @JeniusConnect @jeniushelp Tadi katanya kan gaharus telp tuh bisa web chat. Tp di Mobile Appnya cuma call kan ? setidaknya kita sebagai user diarahin ke link web chat juga gak ke call doangan. beli pulsa smpe 2x 15K udah habis loh https://t.co/Q7uvXwuRTr,negatif
Thu Jan 25 08:28:45 +0000 2024,DevandS,Hallo @jeniushelp @JeniusConnect mending kalian ganti pengiriman dari kurir @jntexpressid kartu debit belum di terima malah kurirnya maksa lapor kalau sudah terima. Dan ternyata kurirnya gk tau alamat itu dokumen penting dan pribadi cari yang lebih kredibel. https://t.co/lpl4oC6xfn,negatif
Sat Jan 27 07:45:29 +0000 2024,AryaDwipangga03,Katanya masukan darimu sangat berarti pas mo dikasi masukan udah langsung ngeror. Udah fix ini @jeniushelp @JeniusConnect kaga peduli apa kata nasabah. Bye bye lah ya udah dikasi iuran 10rb per bulan bukannya makin oke malah ini makin kesini makin kesana..... https://t.co/uXIh3Y3K55,negatif
Mon Feb 05 02:38:31 +0000 2024,ichbinadam_,bersama bank btpn nanananana lebih bermakna~ thank you @jeniushelp @JeniusConnect customer service nya 10/10 thank you juga kak cika yang satset ga kalah ama B*A https://t.co/8Zw80Fzuu8,positif
Thu Jan 18 13:22:32 +0000 2024,pradiptantri,nunggu sampe kapan min @jeniushelp https://t.co/GLnwAiz2rS,netral
Fri Jan 19 07:00:21 +0000 2024,saepvlm,Cek dm min @jeniushelp,netral
Fri Jan 12 09:30:12 +0000 2024,tietieutie,@jeniushelp Halo kak mohon info untuk program cicilan kartu kredit jenius 0% ada untuk tenor berapa ya? Sy sudah cek di web jenius tp blm diupdate masa berlaku sampai des 2023,netral
Thu Jan 25 08:43:45 +0000 2024,JeniusConnect,Customer Service resmi Jenius (24 jam): Call Center: 1500 365 E-mail: jenius-help@btpn.com X: @jeniushelp PT Bank BTPN Tbk berizin dan diawasi oleh Otoritas Jasa Keuangan (OJK) Bank Indonesia (BI) dan merupakan peserta penjaminan LPS.,netral
Tue Feb 13 02:08:10 +0000 2024,jeniushelp,@saacita @JeniusConnect Hi Sa. Benar promo Shihlin berlaku selama periode 12 Februari 2024 1 April 2024 setiap hari Selasa. Berlaku untuk 1 kali transaksi per user per bulan. Kuota promo QRIS Saldo Aktif 1.500 per hari. Kuota promo QRIS Paylater 75 per hari cek selengkapnya melalui,netral
Fri Feb 16 07:24:16 +0000 2024,_ysane,Akun jenius kalau lama ga dipake sekitar 1-2 tahun terus mau diaktifin lagi bisa ga? @jeniushelp,netral
Tue Feb 06 04:33:40 +0000 2024,journalin,Wew ternyata ada yang ngalamin hal serupa gara2 #kartukreditJenius #JeniusConnect @jeniushelp Solusi dari Jenius cuma ngirim kartu pengganti dan TETAP BAYAR tagihan fiktif! GWS deh udahlah ga ngasih alert fraud blokir dan ganti kartu lama banget ini investigasi macam apa? https://t.co/yW4j3g2ejm,negatif
Fri Jan 05 04:55:10 +0000 2024,indrisme,@jeniushelp min boleh cek dm? Makasih,netral
Sat Feb 17 12:17:21 +0000 2024,jaemin3cats,kenapa mau buat password jenius gabisa terus @jeniushelp https://t.co/Q8TbFEdaRw,negatif
Mon Feb 05 14:11:07 +0000 2024,kittenkweenn,@jeniushelp min cek dm,netral
Sun Oct 29 02:19:55 +0000 2023,rndomsi,Halo promo ini berlaku ga buat hari ini? Soalnya pernah dtg ke KFC blg ga berlaku krn ada paket yg 70an itu dari jenius tolong infonya berlaku hari ini atau gak thank you @JeniusConnect @jeniushelp https://t.co/IAieK53gVq,netral
Thu Nov 16 07:53:40 +0000 2023,FebryanValdo,Hallo min @jeniushelp ini Jenius kenapa ya? Kok error terus dari tadi? Mau topup sama transaksi failed terus. https://t.co/PRMGHKdL1d,negatif
Fri Dec 01 08:45:26 +0000 2023,janedoeisliving,Yeah we love to be gaslighted.. nungguin nih tiba-tiba chat uda end aja. Tapi tetep ya pelanggan yang BUSY WITH SOMETHING ELSE @JeniusConnect @jeniushelp https://t.co/4rQRS3PABd,negatif
Fri Dec 01 04:49:42 +0000 2023,2bern2,Parah sih emang per-CS-an bank digital satu ini. @jeniushelp @JeniusConnect Gak ada bagus-bagusnya. Zero empathy. Call center gak bisa terhubung udah gue telponin pagi sore malem subuh. Payah. https://t.co/8wBLBULVAM,negatif
Wed Nov 15 04:21:54 +0000 2023,_alfatikha,Promo jenius x gojek (untuk gofood) itu cuma sehari sekali atau selama seminggu cuma sekali ya? @gojekindonesia @jeniushelp @JeniusConnect,netral
Sun Dec 03 07:04:40 +0000 2023,EjiErubani,Saya dapat email ini saat mengajukan kartu kredit tapi cara upload slip gaji nya dimana ya? @jeniushelp https://t.co/6cyrFhSHoA,netral
Mon Oct 16 07:26:47 +0000 2023,zengiyu,haloo min aku barusan udah telfon ke call center jenius terkait unlink device tapi tiba2 mati karena pulsaku abis help min tadi diinfoinnya bakal dikasi link video call di email @jeniushelp,netral
Thu Nov 16 09:48:14 +0000 2023,nazellnut,halo @jeniushelp saya lupa password jenius gmn ya. mau tf jadii gabisa soalnya lupa password,netral
Fri Dec 01 08:14:43 +0000 2023,janedoeisliving,Setelah disuru nunggu 10 hari kerja dapat email lagi suru nunggu 20 hari kerja. Settlement gara2 kartu declined trus terdebet emang lama banget ya? Mana setiap tanya ditanya balik apakah bill sudah dibayar? Agak ngaco emang -_- @jeniushelp @JeniusConnect,negatif
Wed Nov 15 12:14:12 +0000 2023,alandakariza,Kira-kira kalo nggak bisa daftar kartu kredit @JeniusConnect itu kenapa ya? Ada yang ngalamin juga nggak? FlexiCash malah dikasih limit besar dan eligible buat PayLater juga. @jeniushelp,netral
Mon Dec 04 00:23:07 +0000 2023,cesarinae,@JeniusConnect @jeniushelp apakah ada promo flexi cash untuk bulan Desember?,netral
Sat Dec 02 07:11:56 +0000 2023,ThatDitya,@jeniushelp min cek dm ya. Makasih!,netral
Fri Nov 24 23:54:46 +0000 2023,marbotmusholla,Cek dm @jeniushelp,netral
Thu Nov 16 07:35:04 +0000 2023,thomyutomo,@jeniushelp @JeniusConnect siang kak saya barusan transfer dari BNI ke BTPN Jenius via BI Fast dengan status transaksi sudah berhasil dan saldo sudah terpotong di tekening BNI saya tapi kok di jenius belum ada uang masuk ya? di history transaksi juga tidak ada,netral
Mon Nov 20 11:41:16 +0000 2023,tapeuyaki,Halo @mandiricare @jeniushelp saya mau transfer dari mandiri ke rek jenius aktif kok keterangannya seperti ini kenapa ya? Mohon dibantu. Thanks https://t.co/L2UAREtByo,netral
Tue Nov 28 08:53:58 +0000 2023,rusydinat,mohon cek DM @jeniushelp,netral
Wed Nov 29 02:52:04 +0000 2023,flip_id,@_temi @jeniushelp Hi Kak mohon maaf atas ketidaknyamanannya. Boleh diinfokan kendala yang dialami via DM?,netral
Tue Nov 07 10:18:59 +0000 2023,mr_farhanheit,gimana cara mengajukan unlink device melalui email @jeniushelp,netral
Sat Dec 02 10:35:24 +0000 2023,jeniushelp,@inyourdreeamm Hi sudah kami respon DM kamu ya.^YMR,netral
Sat Nov 11 04:50:35 +0000 2023,amayrx,Haloo tolong dong jenius bingung deh mau hubungin cs aja susah banget. Udh email keluhan balesnya luamaaa banget. Hubungin lewat telpon bertele-tele banget sampe 2x isi pulsa terus gadapet jawaban dan penyelesaian. Harus menyampaikan keluhan kemana ini @jeniushelp @jenius,negatif
Fri Sep 15 12:46:53 +0000 2023,hammermilll,Holy moly ini bener cc dr limit 35jt jadi 199jt? Mohon dibantu cek min thanks @jeniushelp https://t.co/5TSw68LSGG,netral
Fri Sep 29 08:02:18 +0000 2023,TalkinAndy,Karena habis ganti gadget gw disuruh unlink device dulu dikasih instruksi. Tapi instruksinya ternyata ngga relevan. Gimana ini @jeniushelp Gb 1&amp;2 screenshot gadget baru Gb 3 screenshot gadget lama https://t.co/7A95Q8KtYP,negatif
Thu Sep 28 02:03:15 +0000 2023,rio_son_of_odin,ini maksudnya apa? @jeniushelp @JeniusConnect https://t.co/AEogaOTr3M,netral
Fri Sep 15 06:24:46 +0000 2023,Ikramsp_,selamat ulang tahun buat @jeniushelp gw maksi segini cuma bayar 12 700 https://t.co/rcNMmzFZNh,netral
Fri Oct 06 10:53:16 +0000 2023,SuhflowerrJ,Halo @jeniushelp saya mau aktifin mata uang asing tapi dari kmren gabisa terus Ini kira2 kenapa ya? Saldo cukup dan internet oke kok Saya udh chat tapi ga dibales boleh tlg bantu gaaa https://t.co/DlPZAEKWBk,netral
Fri Sep 15 08:49:41 +0000 2023,Qweensolo,@jeniushelp min ini dari tadi knp ya uda 30menit? https://t.co/AVfhYKMPaY,netral
Tue Oct 10 23:15:52 +0000 2023,gitaagunanti,promo kintan @jeniushelp @JeniusConnect ini bisa untuk pembelian berapa pax sih? https://t.co/qBsW1ClFJA,netral
Wed Sep 27 18:39:24 +0000 2023,FebriTriHarmoko,Halo @jeniushelp kok saya tidak bisa menampilkan histori transaksi bulan Juni-Juli 2023 ya? Kan belum 6 bulan terakhir. Ini cuma mentok di bulan 1 Agustus 2023. https://t.co/4Bg2vRBqKp,netral
Sun Sep 10 02:28:08 +0000 2023,Merry_meyrishka,Selamat pagi min @JeniusConnect @jeniushelp min maaf mau tanya aplikasinya ko gak bisa diupdate ? padahal ruang penyimpan masih kosong signal juga kenceng. Mohon bantuannya. Terimakasih. https://t.co/jSeexpWTWq,netral
Sat Oct 14 07:59:43 +0000 2023,JeniusConnect,Customer Service resmi Jenius (24 jam): Call Center: 1500 365 E-mail: jenius-help@btpn.com X: @jeniushelp PT Bank BTPN Tbk berizin dan diawasi oleh Otoritas Jasa Keuangan (OJK) dan merupakan peserta penjaminan LPS.,netral
Sat Oct 07 03:42:25 +0000 2023,JeniusConnect,Customer Service resmi Jenius (24 jam): Call Center: 1500 365 E-mail: jenius-help@btpn.com Twitter: @jeniushelp PT Bank BTPN Tbk berizin dan diawasi oleh Otoritas Jasa Keuangan (OJK) dan merupakan peserta penjaminan LPS.,netral
Fri Oct 13 09:40:34 +0000 2023,haloyull,@JeniusConnect @jeniushelp mau tanya saya dulu punya rekening jenius cuma saya lupa nomor telepon dan rekeningnya bisa ga ya ngajuin dengan nomor berbeda tapi niknya sama?,netral
Mon Oct 02 04:06:54 +0000 2023,zahrakhrn,@jeniushelp @JeniusConnect halo gimana caranya aktifasi kartu kredit jenius ya? Saya belum dapat penawaran pengaktifan kartu kreditnya,netral
Sun Sep 17 22:31:17 +0000 2023,Dannydzf,@jeniushelp cek dm kak,netral
Mon Oct 09 20:50:00 +0000 2023,MeinNameistMia,@jeniushelp halo min cek dm ya,netral
Tue Oct 10 05:28:44 +0000 2023,sorrgom,Tolong tolong Tolong aku @jeniushelp !,netral
Sat Oct 07 02:22:22 +0000 2023,luakena,@jeniushelp kak mau nanya dong. Kenapa ya akunku selalu gagal narik Feasible? Padahal saldonya ada.,netral
Tue Aug 22 04:31:14 +0000 2023,kshfnx,halo @jeniushelp ini pajak apa yaa?? tiba-tiba kena pajak gini padahal sebelumnya ngga pernah. apa karna kartunya ada duit jadi kena pajak? https://t.co/GdqbB55RGG,netral
Sun Oct 08 07:30:21 +0000 2023,AryaDwipangga03,Hoy @JeniusConnect @jeniushelp menu buat registrasi fece recognition ada di mana sih di app nya?,netral
Wed Sep 06 05:54:29 +0000 2023,dytaeatsmatcha,Cek DM katanya 24 jam @jeniushelp,netral
Sat Jul 29 05:44:33 +0000 2023,tayonasiiro,@JeniusConnect @jeniushelp ini apa ya https://t.co/qKQ35rgkYK,netral
Mon Aug 14 01:49:25 +0000 2023,sukamrtbkmanis,Ga jelas lu @jeniushelp. Liat aja tanggal transaksinya (foto 1 &amp; 2 hari ini tapi dicek di mutasi ga ada apaÂ²). https://t.co/jiIflXDSId,netral
Tue Aug 15 10:47:57 +0000 2023,jstuhave,kenapa ya ga aktif aktif @jeniushelp https://t.co/pnhPSre0pt,netral
Sat Jul 15 06:20:22 +0000 2023,AuzanGoGreen,Bang udah bang @JeniusConnect @jeniushelp https://t.co/OdlyOmGsxv,netral
Wed Aug 02 13:39:22 +0000 2023,Suryadi_surr,Sy sangat shock dengan aturan pay early dari bank jenius singkat cerita sy pake fitur paylater trus ditanggal 1 sy bayar duluan setelah bayar saldoku malah terpotong 100.000 dengan 5kali transaksi dengan notif settlement. jdi hitungannya 2kali bayar @JeniusConnect @jeniushelp https://t.co/jI5GNZI7St,negatif
Tue Aug 15 08:11:57 +0000 2023,bigdaulay,Promo jenius dan pergi ke kfc kisaran staff kfcnya bilang enggak tau promo dan mesin qris rusak. Podo wae @jeniushelp @JeniusConnect https://t.co/bpkooxb9GS,negatif
Sat Aug 12 12:56:20 +0000 2023,JeniusConnect,Customer Service resmi Jenius (24 jam): Call Center: 1500 365 E-mail: jenius-help@btpn.com Twitter: @jeniushelp PT Bank BTPN Tbk berizin dan diawasi oleh Otoritas Jasa Keuangan (OJK) dan merupakan peserta penjaminan LPS.,netral
Wed Aug 02 06:07:46 +0000 2023,Suryadi_surr,tolong dong diinformasikan ini Settlement apa? saldoku terpotong 500rb dengan keterangan settlemen. tolong dikonfirmasi @jeniushelp @JeniusConnect https://t.co/j7UjmLfo9u,netral
Sun Aug 06 08:32:14 +0000 2023,KemFazHas,@jeniushelp halo Admin ini kenapa aplikasinya tidak bisa diakses hanya berputar2 di halaman PIN. Koneksi tidak ada masalah karena aplikasi bank lain bisa diakses.,negatif
Tue Aug 15 02:55:46 +0000 2023,berrieyummy,Halo @jeniushelp saya transfer ke BCA tulisannya terkirim tapi di mutasi BCA ga ada. Uangnya udah kepotong. Kenapa ya?,netral
Tue Aug 15 15:25:21 +0000 2023,_bbe,dear @jeniushelp kenapa pada saat mengirimkan kartu tidak sesuai dengan alamat pada aplikasi? casenya udah ubah alamat di aplikasi dan mengajukan pengiriman kartu tapi selalu dikirim ke alamat yang lama. udah 3x lho ini salah kirim terus.,negatif
Mon Jul 10 13:15:04 +0000 2023,ajengaryanti,Halo @jeniushelp ini tadi gagal bayarnya cma sekali tapi ditarik dendanya kok sampe 3x ya? https://t.co/dbMhXIJvrJ,netral
Wed Aug 16 04:23:00 +0000 2023,naisilampard,@jeniushelp halo min cek dm yaa. Makasiihhh,netral
Mon Aug 14 18:18:56 +0000 2023,slvkim_,Seandainya tau ada pajak 10rb/bulan pasti ga se nyesek ini niat nyimpen biar berbunga eh malah kepotong nyesek bgt mana lagi gaada duit mau ambil karena lagi butuh bgt duit @jeniushelp https://t.co/7G7ov8sQRp,negatif
Sun Aug 13 13:50:37 +0000 2023,hannyekas,terima kasih @jeniushelp https://t.co/v0JOXgVFdz,positif
Mon Aug 07 22:24:32 +0000 2023,menjadiapaprok,Ini kenapa skarang jenius ada fee nya ya klo tf? Perasaan waktu utu gratis deh @jeniushelp https://t.co/x75nfYtEmC,netral
Sat Aug 12 11:17:17 +0000 2023,jokiinryujie,tolong ini kenapa ya?? ga ada perangkat yang pernah saya masukin jenius @jeniushelp https://t.co/IKJ2QT0uF3,netral
Thu Jul 27 11:29:15 +0000 2023,NadyaTrisya,@jeniushelp min cek dm doong,netral
Fri Aug 11 11:42:39 +0000 2023,cimahacima,@jeniushelp cek dm min,netral
Wed Aug 09 10:03:07 +0000 2023,O512CORE,@jeniushelp min masih ada promo nonton jenius gak?,netral
Thu Jul 06 11:23:18 +0000 2023,naddyaw,@rulihskr @Lasuardi @wiram @eosmate @bagusvdr @jeniushelp Bonus bukti nyata beneran sampe ludes saldonya whats wrong @jadijago ?? https://t.co/v6cqZ6GPGK,negatif
Mon Jun 26 02:39:22 +0000 2023,byeoliejihoon,hi min cek DM ya ^^ @jeniushelp,netral
Tue Jul 04 08:26:03 +0000 2023,heyrum4,Syarat pengajuan cc Jenius apa kak @jeniushelp,netral
Thu Jul 06 06:53:51 +0000 2023,tsyvrm,@eosmate @jeniushelp @ mau tag tmn gue nisa tp ga ketemu usernya,netral
Wed Jul 05 22:44:16 +0000 2023,radradinal,@eosmate @jeniushelp Ini salah satu alasan kenapa saya tidak lagi pakai jeni selain dendanya yg gila gilaan. Setiap transaksi itu tidak memakai authentikasi (tunggu kode sms). Resiko tinggi apalagi sistemnya debit card bukan kredit. Kalo kesedot kita susah minta balikin.,negatif
Mon Jul 10 13:09:35 +0000 2023,jeniushelp,@dindinata30 Hi berlaku Free annual fee tahun pertama berlaku program free annual fee tahun berikutnya ketentuan kumulatif transaksi bulan 1-12 sebesar min.30 juta(d-card)untuk di waive annual fee di tahun ke2 (atau yang akan dikenakan pada bulan ke 13) dan untuk tahun-tahun berikutnya,netral
Tue May 30 19:26:08 +0000 2023,AaEzha,@jeniushelp apakah itu nomor bebas pulsa?,netral
Tue May 30 19:37:25 +0000 2023,AaEzha,@jeniushelp Baik terima kasih atas informasi dan asistensinya. ^RNF,positif
Thu Jul 06 05:52:55 +0000 2023,xxxgnag,@bukandeng @eosmate @jeniushelp skg pake apa?,netral
Wed Jul 05 16:50:42 +0000 2023,bagusvdr,@eosmate @jeniushelp Walah.. Ini pertimbangan serius buat ga lagi pake Jenius. Beberapa waktu emang uda kepikir untuk tutup akun.. Tapi masih tarik ulur.. Bocor dari mana ya kira2 CVV nya ini.,netral
Thu Jul 06 02:50:35 +0000 2023,diksimati,Ngeri betul @jeniushelp wooy udah app lelet dulu juga banyak kasus tiba2 ada potongan saldo ini malah ada celah carding. Waktu yg tepat untuk tutup akun! Semoga dana bisa kembali Pak.,negatif
Tue May 30 19:24:23 +0000 2023,AaEzha,@jeniushelp hai min boleh minta asistensinya perihal ganti nomor handphone untuk akses ke Jenius Mobile? Terima kasih.,netral
Tue May 30 19:35:43 +0000 2023,AaEzha,@jeniushelp terkait perubahan nomor telepon ini apakah bisa dilakukan dengan mengunjungi booth Jenius langsung yang biasa ada di mall? ^RNF,netral
Sat Jul 08 10:27:53 +0000 2023,jeniushelp,@nu_maida Hi Nurul Maulida saat ini Jenius tidak terdapat kendala login ya. Mohon pastikan versi aplikasi Jenius terbaru dan dapat melakukan clear cache maupun kill app pada device kamu. ^MBM,netral
Wed Jul 05 18:29:58 +0000 2023,tanjungpantun,@eosmate @jeniushelp Wah aku juga kena carding CC mandiri aku tiba2 ada transaksi dr WALMART BENTONVILLE juga saat ini lg tahap investigasi dr mandiri. Panik bgt ,netral
Sat Jul 08 10:05:06 +0000 2023,jeniushelp,@arc___ade Hi Kuromi untuk DM kamu sudah kami respon ya. Terima kasih. ^MBM,netral
Mon Jul 10 12:30:44 +0000 2023,jeniushelp,@bbreeeezyX Hi Muhammad Dany Prayudha DM kamu sudah kami respon ya terima kasih. ^MBM,netral
Sun Jul 09 09:12:28 +0000 2023,jeniushelp,@dezarama Hi ramadanti syarif.deza untuk DM kamu sudah kami respon ya. Terima kasih. ^MBM,netral
